Date;High price;Low price;Closing price;Turnover
2005-06-08;798.08;791.91;796.64;
2005-06-09;797.43;793.44;794.6;
2005-06-10;801.03;794.6;799.59;
2005-06-13;803.32;797.95;801.17;
2005-06-14;807.62;800.17;807.62;
2005-06-15;809.3;802.51;804.45;
2005-06-16;809.8;804.45;809.8;
2005-06-17;812.16;808.38;808.62;
2005-06-20;813.18;806.91;811.85;
2005-06-21;818.65;811.85;818.37;
2005-06-22;820.46;816.58;818.93;
2005-06-23;828.85;818.93;828.23;
2005-06-27;828.23;809.58;809.91;
2005-06-28;815.9;809.91;814.28;
2005-06-29;823.01;814.28;821.26;
2005-06-30;825.57;819.16;822.49;
2005-07-01;830.15;819.46;830.15;
2005-07-04;833.81;830.15;832.34;
2005-07-05;832.87;828.3;830.03;
2005-07-06;834.62;829.83;831.58;
2005-07-07;831.58;799.78;818.54;
2005-07-08;832.23;818.54;832.23;
2005-07-11;846.22;832.23;845.63;
2005-07-12;847.97;841.45;843.81;
2005-07-13;851.47;843.81;850.15;
2005-07-14;852.47;848.08;849.89;
2005-07-15;851.82;847.37;848.46;
2005-07-18;852.76;847.44;849.75;
2005-07-19;852.5;847.51;852.5;
2005-07-20;852.5;843.66;846.8;
2005-07-21;855.67;846.8;852.79;
2005-07-22;854.94;851.08;852.52;
2005-07-25;854.19;848.79;852.41;
2005-07-26;859.18;852.34;854.52;
2005-07-27;861.87;854.52;861.49;
2005-07-28;866.7;861.49;863.8;
2005-07-29;868.8;862.56;863.84;
2005-08-01;866.63;862.01;862.97;
2005-08-02;871.01;862.97;870.87;
2005-08-03;870.95;864.92;869.22;
2005-08-04;871.64;862.08;863.53;
2005-08-05;865.47;859.7;860.88;
2005-08-08;863.85;858.78;861;
2005-08-09;863.79;858.69;863.67;
2005-08-10;876.06;863.6;874.86;
2005-08-11;874.86;866.86;870.16;
2005-08-12;871.95;866;866.86;
2005-08-15;869.44;864.75;867.3;
2005-08-16;870.54;863.37;865.51;
2005-08-17;865.51;858.5;861.34;
2005-08-18;864.15;857.16;861.41;
2005-08-19;868.97;860.84;866.47;
2005-08-22;869.61;864.56;866.94;
2005-08-23;866.94;859.04;859.25;
2005-08-24;859.59;846.5;849.47;
2005-08-25;849.47;839.38;839.94;
2005-08-26;844.55;832.86;833.86;
2005-08-29;842.03;826.87;841.07;
2005-08-30;847.22;838;838.33;
2005-08-31;850.2;838.33;849.51;
2005-09-01;855.31;849.51;851.89;
2005-09-02;853.68;846.06;853.67;
2005-09-05;858.46;851.4;856.21;
2005-09-06;864.11;856.21;860.39;
2005-09-07;865.72;860.39;863.54;
2005-09-08;865.07;859.29;860.78;
2005-09-09;869.46;860.78;868.93;
2005-09-12;873.35;868.09;869.58;
2005-09-13;870.75;864.33;869.2;
2005-09-14;874.78;868.36;873.03;
2005-09-15;873.03;868.23;869.44;
2005-09-16;874.58;868.66;872.43;
2005-09-19;876.11;869.84;872.39;
2005-09-20;875.33;869.73;872.68;
2005-09-21;872.68;863.48;864.05;
2005-09-22;867.9;859.76;867.9;
2005-09-23;870.26;867.1;870.03;
2005-09-26;882.92;870.03;882.83;
2005-09-27;884.71;880.3;882.77;
2005-09-28;891.95;882.77;890.36;
2005-09-29;895.36;888.42;890.99;
2005-09-30;898.98;890.99;896.29;
2005-10-03;905.38;896.29;905.38;
2005-10-04;906.75;900.95;902.79;
2005-10-05;902.79;893.88;898.5;
2005-10-06;898.5;885.56;889.51;
2005-10-07;890.23;886.12;888.13;
2005-10-10;895.63;888.13;892.06;
2005-10-11;896.95;891.35;892.51;
2005-10-12;892.51;881.93;882.77;
2005-10-13;884.53;872.67;873.94;
2005-10-14;879.25;872.14;876.33;
2005-10-17;880.85;872.76;872.89;
2005-10-18;874.21;868.67;870.06;
2005-10-19;870.06;855.34;856.5;
2005-10-20;866.53;856.5;858.7;
2005-10-21;858.7;851.14;854.6;
2005-10-24;864.73;852.53;863.5;
2005-10-25;877.13;863.5;870.78;
2005-10-26;878.5;870.53;872.91;
2005-10-27;872.91;861.32;862.86;
2005-10-28;864.88;856.6;862.66;
2005-10-31;882.7;862.66;882.63;
2005-11-01;887.13;880.12;885.81;
2005-11-02;889.39;881.58;888.65;
2005-11-03;898.66;888.65;898.24;
2005-11-04;900.5;895.32;896.62;
2005-11-07;904.16;896.62;901.61;
2005-11-08;906.9;898.91;899.28;
2005-11-09;902.37;895.42;900.97;
2005-11-10;906.95;900.25;900.64;
2005-11-11;914.82;900.64;914.1;
2005-11-14;917.9;912.74;914.3;
2005-11-15;916.19;910.03;911.53;
2005-11-16;913.59;907.75;912.46;
2005-11-17;916.97;912.46;914.41;
2005-11-18;923.06;914.41;918.98;
2005-11-21;924.74;918.44;922.74;
2005-11-22;925.85;915.56;916.84;
2005-11-23;922.52;916.84;921.71;
2005-11-24;923.73;915.3;917.62;
2005-11-25;923.44;916.68;919.65;
2005-11-28;926.29;918.9;921.8;
2005-11-29;922.65;916.69;919.32;
2005-11-30;919.59;911.16;911.16;
2005-12-01;927.72;911.16;927.16;
2005-12-02;935.9;925.97;933.69;
2005-12-05;937.4;926.98;926.98;
2005-12-06;940.27;926.98;936.08;
2005-12-07;940.67;936.06;936.78;
2005-12-08;943.05;933.37;943.05;
2005-12-09;945.16;939.75;943.16;
2005-12-12;947.85;940.02;940.29;
2005-12-13;943.15;937.59;942.78;
2005-12-14;942.78;935.69;937.12;
2005-12-15;938.4;933.03;934.79;
2005-12-16;944.3;934.79;943.57;
2005-12-19;947.46;941.87;943.72;
2005-12-20;944.06;938.06;943.73;
2005-12-21;949.31;943.73;949.27;
2005-12-22;952.61;948.45;951.31;
2005-12-23;959.53;951.12;958.44;
2005-12-27;965.5;958.4;964.64;
2005-12-28;964.64;959.58;961.12;
2005-12-29;966.74;961.12;966.74;
2005-12-30;966.74;959.35;960.01;
2006-01-02;963.88;959.37;963.39;
2006-01-03;971.79;963.37;967.6;
2006-01-04;975.04;967.6;973.61;
2006-01-05;974.42;971.07;972.89;
2006-01-09;982.63;972.89;982.63;
2006-01-10;984.02;972.45;975.42;
2006-01-11;979.8;975.19;979.78;
2006-01-12;979.78;972.12;976.02;
2006-01-13;976.02;964.38;967.26;
2006-01-16;971.7;963.03;971.64;
2006-01-17;971.64;959.31;960.77;
2006-01-18;960.77;940.97;941.61;
2006-01-19;949.98;941.61;943.44;
2006-01-20;949.94;935.87;935.87;
2006-01-23;936.17;922.67;935.14;
2006-01-24;938.44;928.75;929.22;
2006-01-25;938.88;929.22;938.88;
2006-01-26;947.29;938.04;946.16;
2006-01-27;961.13;946.16;959.35;
2006-01-30;962.36;956.4;958.99;
2006-01-31;966.8;955.45;961.98;
2006-02-01;970.71;961.98;968.9;
2006-02-02;975.62;968.82;969.68;
2006-02-03;970.55;962;963.14;
2006-02-06;969.2;963.14;968.45;
2006-02-07;972.12;961.02;961.71;
2006-02-08;966.99;953.21;965.81;
2006-02-09;978.8;965.81;977.4;
2006-02-10;977.4;967.56;968.57;
2006-02-13;974.05;968.57;973.37;
2006-02-14;980.37;973.37;977.83;
2006-02-15;979.05;974.29;976.12;
2006-02-16;984.3;976.12;983.58;
2006-02-17;989.85;982.89;982.89;
2006-02-20;986.36;980.68;985.77;
2006-02-21;997.57;985.77;993.51;
2006-02-22;1002.11;991.46;1001.06;
2006-02-23;1007.75;1000.58;1001.66;
2006-02-24;1010.74;1001.66;1010.74;
2006-02-27;1015.81;1009.19;1015.71;
2006-02-28;1016.59;993.49;995.01;
2006-03-01;1006.29;994.69;1006;
2006-03-02;1012.18;1001.74;1005.82;
2006-03-03;1011.69;1004.18;1010.05;
2006-03-06;1018.67;1010.05;1014.78;
2006-03-07;1014.78;1003.28;1006.28;
2006-03-08;1009.02;997.18;997.44;
2006-03-09;1008.93;997.44;1007.76;
2006-03-10;1009.99;1002.64;1009.43;
2006-03-13;1018.7;1009.43;1018.36;
2006-03-14;1020.59;1015.01;1017.71;
2006-03-15;1027.43;1017.71;1024.44;
2006-03-16;1032.86;1022.64;1030.2;
2006-03-17;1037.27;1030.2;1034.06;
